S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,#CHECKED LIMITED,Registered,200920810R,Not Applicable,Others,Environment,
2,1987 SICC ANNIVERSARY SCHOLARSHIP FUND,Deregistered,S87CC0438D,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
3,21C GIRLS LTD.,Registered,201436550G,Not Applicable,Education,Others,Training & education
4,A DAY WITH MARY,Registered,T04CC1777A,Not Applicable,Religious,Christianity,
5,A. O. ACTION LOVE LTD.,Registered,198700575Z,Not Applicable,Religious,Christianity,
6,ABDULLAH SALEH SHOOKER TRUST,Registered,S85CC2085E,Not Applicable,Others,General Charitable Purposes,
7,Abundant Life Bible-Presbyterian Church,Registered,S94SS0051F,Not Applicable,Religious,Christianity,Direct Services
8,"ACADEMY OF ENGINEERING, SINGAPORE",Registered,T11SS0118B,Not Applicable,Others,Think Tanks,
9,ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED,Registered,201112640R,Not Applicable,Health,Others,
10,ACES CARE LIMITED,Registered with IPC,201608445Z,From 27/2/2023 to 26/2/2024,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
11,ADAM SCOTT FOUNDATION (ASIA) LIMITED,Deregistered,200816234N,Not Applicable,Others,General Charitable Purposes,
12,ADMIRALTY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,T07CC2017G,Not Applicable,Community,North West,"Financial assistance, bursaries & scholarships"
13,Adventist Community Services,Registered,S60SS0011A,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
14,Agape Counselling and Training Centre,Registered,S91SS0045C,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
15,Aglow International (Singapore),Registered,S79SS0014D,Not Applicable,Religious,Christianity,Training & education
16,AGORA@WESTCOASTPLAZA LTD.,Registered,200702751M,Not Applicable,Social and Welfare,"Children/Youth,Disability (Adult),Disability (Children),Eldercare,Family",Direct Services Training & education
17,AMBULANCE WISH (SINGAPORE) LTD.,Registered,201916704W,Not Applicable,Social and Welfare,Community,Direct Services
18,Ann Jin Kiong,Registered,S85SS0044B,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships"
19,Aoxiang Counselling Service,Registered,T05SS0095C,Not Applicable,Social and Welfare,Family,Direct Services Training & education
20,APSN EDUCATION SERVICES LTD.,Registered with IPC,202020914M,From 02/3/2023 to 01/3/2026,Education,Local Educational Institutions/Funds,"Direct Services Public awareness, promotion & advisory Training & education Research"
21,APSN LTD.,Registered with IPC,202018265W,From 06/1/2023 to 05/1/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education Research"
22,ARC LEARNING ACADEMY LTD.,Registered,201112356K,Not Applicable,Social and Welfare,Disability (Adult),Training & education
23,"ARK, THE",Deregistered,T07SS0078B,Not Applicable,Religious,Christianity,Direct Services
24,ASHOKA : INNOVATORS FOR THE PUBLIC (SINGAPORE) LIMITED,Registered,201020535E,Not Applicable,Others,General Charitable Purposes,
25,Asian Christian Training Centre,Registered,S90SS0058B,Not Applicable,Religious,Christianity,Training & education
26,Assemblies of God Community Services Society,Registered,T00SS0005K,Not Applicable,Social and Welfare,Community,
27,Association for Breastfeeding Advocacy (Singapore),Registered,T03SS0174L,Not Applicable,Health,Others,"Public awareness, promotion & advisory Training & education"
28,ASTHMA AND ALLERGY ASSOCIATION,Registered,S93SS0154B,Not Applicable,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Training & education"
29,AT CAPITAL CHARITABLE FOUNDATION LIMITED,Registered,201412023G,Not Applicable,Others,General Charitable Purposes,Grantmaking
30,BABSEACLE SINGAPORE LTD.,Deregistered,201132695K,Not Applicable,Others,"Children/Youth,General Charitable Purposes",Training & education
31,BAPTIST FELLOWSHIP CHURCH LIMITED,Registered,197700038D,Not Applicable,Religious,Christianity,
32,BAROQUE ARTS IN ASIA LTD.,Deregistered,200210342Z,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,Direct Services
33,BEAUTIFUL MIND CHARITY,Registered with IPC,T12SS0009G,From 17/2/2023 to 16/2/2025,Arts and Heritage,"Music & Orchestras,Others,Training & Education",Direct Services Supports other Charities Training & education
34,BEDOK RESERVIOR-PUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S88CC0571D,From 01/10/2021 to 30/9/2024,Community,North East,"Financial assistance, bursaries & scholarships Training & education"
35,Beeh Low See Temple,Registered,S94SS0047K,Not Applicable,Religious,Buddhism,
36,Bethany Emmanuel Church,Registered,S89SS0030L,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
37,BGR INTERNATIONAL,Registered,200722544Z,Not Applicable,Others,Humanitarian Aid,Direct Services Grantmaking Supports other Charities Training & education
38,Bible Evangelism Church,Registered,S98SS0153J,Not Applicable,Religious,Christianity,
39,"Bible-Presbyterian Welfare Services, Singapore",Registered,S73SS0030L,Not Applicable,Social and Welfare,Community,Supports other Charities
