S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,ACES CARE LIMITED,Registered with IPC,201608445Z,From 27/2/2023 to 26/2/2024,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
2,ADMIRALTY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,T07CC2017G,Not Applicable,Community,North West,"Financial assistance, bursaries & scholarships"
3,AGAPE METHODIST CHURCH,Registered,T06CC1926E,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
4,Assemblies of God Community Services Society,Registered,T00SS0005K,Not Applicable,Social and Welfare,Community,
5,Association for Breastfeeding Advocacy (Singapore),Registered,T03SS0174L,Not Applicable,Health,Others,"Public awareness, promotion & advisory Training & education"
6,AT CAPITAL CHARITABLE FOUNDATION LIMITED,Registered,201412023G,Not Applicable,Others,General Charitable Purposes,Grantmaking
7,AWWA LTD.,Registered with IPC,201500785Z,From 01/10/2022 to 31/8/2024,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships Public awareness, promotion & advisory Supports other Charities Training & education"
8,BOYS' TOWN,Registered with IPC,201534576H,From 15/2/2023 to 14/12/2025,Social and Welfare,Children/Youth,"Direct Services Public awareness, promotion & advisory Research Training & education"
9,"BOYS' TOWN, SINGAPORE",Deregistered,S84CC0095A,Not Applicable,Social and Welfare,Children/Youth,Direct Services
10,CAMPVISION LTD.,Registered,201606103K,Not Applicable,Others,Children/Youth,Training & education
11,CANCER WELLNESS LIMITED,Registered,201306807E,Not Applicable,Health,Diseases/Illnessess Support Group,"Direct Services Financial assistance, bursaries & scholarships Training & education"
12,CANOSSA MISSION SINGAPORE,Registered with IPC,201020087W,From 02/11/2021 to 01/11/2023,Social and Welfare,Children/Youth,Training & education
13,CARMEL COMMUNITY SERVICES LTD.,Registered,201230606W,Not Applicable,Social and Welfare,"Children/Youth,Eldercare,Family","Public awareness, promotion & advisory Training & education"
14,CFL Lumens Trust,Registered with IPC,T20CC0003G,From 30/10/2022 to 29/7/2024,Social and Welfare,"Children/Youth,Community,Family",Direct Services Training & education
15,Change Our World,Registered,T03SS0224K,Not Applicable,Social and Welfare,Community,Direct Services
16,CHANGI FOUNDATION LIMITED,Registered,201814465E,Not Applicable,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships Grantmaking Supports other Charities"
17,Charis Centre,Registered,T00SS0185H,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups",
18,Children of Mother Earth Society (Singapore),Registered,T02SS0006E,Not Applicable,Others,"Children/Youth,General Charitable Purposes",Training & education
