S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,"*SCAPE CO., LTD.",Registered with IPC,200712761D,From 21/10/2021 to 20/10/2024,Others,Children/Youth,Direct Services
2,ACS (INTERNATIONAL),Registered,200514169H,Not Applicable,Education,Local Educational Institutions/Funds,Direct Services
3,ADAM ROAD PRESBYTERIAN CHURCH,Registered,T12SS0060G,Not Applicable,Religious,Christianity,
4,ALEXANDRA HEALTH FUND LIMITED,Registered with IPC,201427909W,From 21/6/2021 to 20/6/2024,Health,,Grantmaking Research
5,All Saints Home,Registered with IPC,S87SS0068F,From 17/7/2021 to 16/7/2024,Health,Nursing Home,Direct Services
6,Alzheimer's Disease Association,Deregistered,S91SS0018J,From 01/1/2019 to 31/12/2021,Health,,"Direct Services Public awareness, promotion & advisory Training & education Research"
7,AMKFSC COMMUNITY SERVICES LTD.,Registered with IPC,201229817Z,From 01/4/2021 to 30/9/2023,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Direct Services
8,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,Registered with IPC,200201385C,From 27/9/2022 to 26/9/2025,Health,,"Direct Services Training & education Public awareness, promotion & advisory"
9,ANGLICAN PRESCHOOL SERVICES LTD.,Registered,201543649Z,Not Applicable,Education,Local Educational Institutions/Funds,"Direct Services Financial assistance, bursaries & scholarships Training & education"
10,Apex Harmony Lodge,Registered with IPC,S95SS0086F,From 30/4/2021 to 29/4/2024,Health,Nursing Home,Direct Services
11,APSN EDUCATION SERVICES LTD.,Registered with IPC,202020914M,From 02/3/2023 to 01/3/2026,Education,Local Educational Institutions/Funds,"Direct Services Public awareness, promotion & advisory Training & education Research"
12,APSN LTD.,Registered with IPC,202018265W,From 06/1/2023 to 05/1/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education Research"
13,ARTS HOUSE LTD.,Registered with IPC,200210647W,From 01/1/2023 to 31/12/2023,Arts and Heritage,Others,Direct Services
14,Asian Women's Welfare Association,Deregistered,S70SS0021J,Not Applicable,Social and Welfare,"Community,Disability (Children),Eldercare,Family","Direct Services Public awareness, promotion & advisory Training & education"
15,ASSISI HOSPICE,Registered with IPC,201208993Z,From 27/4/2023 to 26/4/2026,Health,Hospice,Direct Services
16,Association for Persons with Special Needs,Deregistered,S75SS0058K,From 01/3/2021 to 31/3/2023,Social and Welfare,"Disability (Adult),Disability (Children)",Training & education
17,ASSOCIATION OF MUSLIM PROFESSIONALS,Registered with IPC,199105100D,From 10/10/2018 to 09/10/2023,Others,Self-Help Groups,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
18,ASSUMPTION PATHWAY SCHOOL,Registered with IPC,T09CC0004J,From 27/8/2020 to 26/8/2023,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships Training & education"
19,AUTISM ASSOCIATION (SINGAPORE),Registered with IPC,S92SS0124D,From 01/7/2021 to 30/6/2024,Social and Welfare,"Disability (Adult),Disability (Children)",Training & education
20,Autism Resource Centre (Singapore),Registered with IPC,S99SS0148L,From 01/2/2023 to 30/9/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education"
21,AWWA LTD.,Registered with IPC,201500785Z,From 01/10/2022 to 31/8/2024,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
22,BARKER ROAD METHODIST CHURCH,Registered,S87CC0534L,Not Applicable,Religious,Christianity,
23,BETHESDA (BEDOK-TAMPINES) CHURCH LTD,Registered,198402921M,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
24,Beyond Social Services,Registered with IPC,S87SS0025J,From 01/7/2022 to 30/6/2025,Social and Welfare,Community,"Direct Services Research Financial assistance, bursaries & scholarships Training & education"
25,"BONE MARROW DONOR PROGRAMME, THE",Registered with IPC,S93SS0141J,From 01/7/2021 to 30/6/2024,Health,Diseases/Illnessess Support Group,
26,BOYS' TOWN,Registered with IPC,201534576H,From 15/2/2023 to 14/12/2025,Social and Welfare,Children/Youth,"Direct Services Public awareness, promotion & advisory Training & education Research"
27,BRIGHT HILL EVERGREEN HOME,Registered with IPC,S82SS0008F,From 01/12/2020 to 30/11/2023,Health,Nursing Home,Direct Services
28,BRIGHT HORIZONS FUND,Registered with IPC,200818009N,From 01/10/2022 to 30/9/2025,Social and Welfare,Children/Youth,Training & education
29,BRIGHT VISION HOSPITAL,Registered with IPC,200105451R,From 23/8/2021 to 22/8/2024,Health,Hospice,Direct Services
30,BRITISH COUNCIL (SINGAPORE) LIMITED,Registered,201202363R,Not Applicable,Education,Others,
31,Buddha Tooth Relic Temple (Singapore),Registered,T03SS0035G,Not Applicable,Religious,Buddhism,
32,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),Registered with IPC,S93SS0148C,From 01/3/2022 to 30/11/2024,Social and Welfare,"Children/Youth,Eldercare,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
33,CAMBRIDGE UNIVERSITY PRESS,Deregistered,T00FC5845D,Not Applicable,Education,Others,
34,CARE CORNER SINGAPORE LTD,Registered with IPC,198105641M,From 01/8/2020 to 31/7/2024,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
35,Caritas Singapore Agape Fund,Registered with IPC,T06CC2001K,From 01/2/2023 to 31/3/2025,Social and Welfare,Community,Grantmaking Supports other Charities Training & education
