S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,#NAME?,Registered,201021998H,Not Applicable,Others,General Charitable Purposes,Grantmaking
2,#NAME?,Registered with IPC,202032457N,From 01/4/2023 to 31/3/2024,Social and Welfare,Children/Youth,"Direct Services Financial assistance, bursaries & scholarships Training & education"
3,365 CANCER PREVENTION SOCIETY,Registered with IPC,T03SS0046H,From 01/11/2021 to 31/10/2024,Health,"Other Community-based Services,Others; Nutrition Counselling","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
4,ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED,Registered with IPC,201022774G,From 29/8/2020 to 28/5/2023,Social and Welfare,Disability (Adult),Direct Services
5,Abundant Grace Presbyterian Church,Registered,T13SS0122H,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education
6,ABUNDANT LIFE FAMILY CHURCH LTD,Registered,197700528D,Not Applicable,Religious,Christianity,
7,ACADEMY OF MEDICINE SINGAPORE,Registered with IPC,197702012E,From 17/5/2022 to 16/5/2025,Health,,"Public awareness, promotion & advisory Training & education"
8,ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED,Registered,201112640R,Not Applicable,Health,Others,
9,ACS (INTERNATIONAL),Registered,200514169H,Not Applicable,Education,Local Educational Institutions/Funds,Direct Services
10,ACS (International) Education Fund,Registered with IPC,T07CC2027A,From 06/6/2020 to 05/6/2023,Education,Local Educational Institutions/Funds,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
11,Action For Aids (Singapore),Registered with IPC,S88SS0126A,From 30/12/2021 to 29/12/2024,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Research"
12,Action for Singapore Dogs Society,Registered,T02SS0132E,Not Applicable,Others,Animal Welfare,
13,Adventist Home for the Elders,Registered with IPC,S80SS0046B,From 01/8/2021 to 31/10/2023,Social and Welfare,Eldercare,Direct Services
14,Adventist Nursing and Rehabilitation Centre,Registered with IPC,S97SS0048K,From 20/7/2021 to 19/7/2024,Health,,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
15,Agape Baptist Church,Registered,S84SS0017C,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships"
16,Agape Christian Centre,Registered,T00SS0010B,Not Applicable,Religious,Christianity,Direct Services Training & education
17,Agape Counselling and Training Centre,Registered,S91SS0045C,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
18,AGAPE METHODIST CHURCH,Registered,T06CC1926E,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
19,AIDHA LTD.,Registered with IPC,201006653E,From 01/5/2021 to 31/10/2023,Social and Welfare,Community,Training & education
20,Ain Society,Registered with IPC,T00SS0163F,From 12/4/2023 to 11/4/2024,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
21,ALDERSGATE METHODIST CHURCH,Registered,S87CC0507F,Not Applicable,Religious,Christianity,Direct Services
22,ALEXANDRA HEALTH FUND LIMITED,Registered with IPC,201427909W,From 21/6/2021 to 20/6/2024,Health,,Grantmaking Research
23,Alive Community Church,Registered,T03SS0128C,Not Applicable,Religious,Christianity,Supports other Charities
24,All Saints' Church,Exempt Charity,T08CC4057C,Not Applicable,Religious,Christianity,
25,All Saints' Church (English Congregation),Exempt Charity,T08CC4058K,Not Applicable,Religious,Christianity,Supports other Charities Training & education
26,ALL SAINTS MEMORIAL CHAPEL (SINGAPORE) LTD,Registered,199907126R,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Training & education"
27,AlphaSingapore,Registered,T03SS0059A,Not Applicable,Religious,Christianity,Supports other Charities Training & education
28,AMAZING GRACE PRESBYTERIAN CHURCH,Registered,T12SS0143J,Not Applicable,Religious,Christianity,
29,AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED,Registered,197300850D,Not Applicable,Religious,Christianity,Training & education
30,Amitabha Buddhist Centre,Registered,S88SS0107J,Not Applicable,Religious,Buddhism,Direct Services
31,Amitabha Buddhist Society (Singapore),Registered,S92SS0059H,Not Applicable,Religious,Buddhism,Direct Services Supports other Charities Training & education
32,Ananias Centre,Registered,S95SS0151B,Not Applicable,Social and Welfare,"Community,Family","Direct Services Public awareness, promotion & advisory Training & education"
33,ANG MO KIO CHINESE METHODIST CHURCH,Registered,S87CC0484A,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
34,ANG MO KIO METHODIST CHURCH (TRAC),Registered,S87CC0491G,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
35,Animal Concerns Research and Education Society,Registered with IPC,T01SS0121K,From 01/12/2022 to 30/11/2023,Others,Animal Welfare,"Training & education Public awareness, promotion & advisory"
36,Ann Jin Kiong,Registered,S85SS0044B,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships"
37,Apex Day Rehabilitation Centre For Elderly,Registered with IPC,S89SS0091D,From 01/9/2022 to 31/8/2025,Health,,Direct Services
38,APSARAS ARTS LTD,Registered,200510112D,Not Applicable,Arts and Heritage,"Professional, Contemporary & Ethnic Dance,Traditional Ethnic Performing Arts","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
39,ARC CHILDREN'S CENTRE CO LIMITED,Registered with IPC,201021661K,From 01/1/2021 to 31/12/2023,Social and Welfare,Children/Youth,Direct Services
40,ARTDIS (SINGAPORE) LTD.,Registered with IPC,199500567G,From 01/2/2022 to 31/1/2025,Social and Welfare,Disability (Adult),Direct Services
41,Arulmigu Murugan Temple,Registered,S75SS0033J,Not Applicable,Religious,Hinduism,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities"
42,Arulmigu Velmurugan Gnana Muneeswarar Temple,Registered,T00SS0127C,Not Applicable,Religious,Hinduism,
43,Arya Samaj Singapore,Registered,S62SS0019A,Not Applicable,Religious,Hinduism,"Financial assistance, bursaries & scholarships Training & education"
44,ASEAN CSR NETWORK LTD.,Registered,201025962K,Not Applicable,Others,Think Tanks,"Public awareness, promotion & advisory Training & education Research"
45,ASIA CORNEA FOUNDATION,Registered,200804347D,Not Applicable,Health,Others,"Public awareness, promotion & advisory Training & education Research"
46,ASIA PACIFIC BREWERIES FOUNDATION,Registered,S94CC1034B,Not Applicable,Others,General Charitable Purposes,Supports other Charities
47,Asia Pacific Hospice Palliative Care Network,Registered,T01SS0003A,Not Applicable,Health,Others,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
48,ASIA PHILANTHROPY CIRCLE LTD.,,201528607M,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Supports other Charities Training & education Research"
49,ASIA THEOLOGICAL CENTER,Registered,S85SS0003H,Not Applicable,Religious,Christianity,Training & education
50,ASIAN FILM ARCHIVE,Registered with IPC,200500010H,From 13/1/2022 to 12/1/2024,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education"
51,ASIAN MEDICAL FOUNDATION LTD.,Registered with IPC,200303941K,From 04/6/2022 to 03/6/2025,Health,Others,Supports other Charities
52,ASIAN VENTURE PHILANTHROPY NETWORK LIMITED,Registered,201016116M,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Training & education Research"
53,"Assemblies of God of Singapore, The",Registered,S71SS0008J,Not Applicable,Religious,Christianity,Direct Services
54,Association of Women for Action And Research,Registered with IPC,S85SS0089B,From 01/9/2022 to 31/8/2024,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Training & education Research"
55,AT CAPITAL CHARITABLE FOUNDATION LIMITED,Registered,201412023G,Not Applicable,Others,General Charitable Purposes,Grantmaking
56,AUTISM ASSOCIATION (SINGAPORE),Registered with IPC,S92SS0124D,From 01/7/2021 to 30/6/2024,Social and Welfare,"Disability (Adult),Disability (Children)",Training & education
57,AWWA LTD.,Registered with IPC,201500785Z,From 01/10/2022 to 31/8/2024,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
58,BARTLEY CHRISTIAN CHURCH LTD.,Registered,197801655D,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
59,Basketball Association of Singapore,Registered with IPC,S67SS0001J,From 25/5/2021 to 24/5/2024,Sports,NSAs,
60,BEDOK LUTHERAN CHURCH,Registered,S89CC0663J,Not Applicable,Religious,Christianity,Training & education
61,BEDOK METHODIST CHURCH,Registered,S87CC0532H,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
62,Beeh Low See Temple,Registered,S94SS0047K,Not Applicable,Religious,Buddhism,
63,Bethany Christian Centre,Registered,S89SS0020F,Not Applicable,Religious,Christianity,Direct Services
64,Bethany Church (Singapore),Registered,T01SS0094J,Not Applicable,Religious,Christianity,
65,Bethany Independent-Presbyterian Church,Registered,S86SS0049J,Not Applicable,Religious,Christianity,
66,BETHANY PRESBYTERIAN CHURCH,Registered,T12SS0103L,Not Applicable,Religious,Christianity,Supports other Charities
67,Bethel Assembly of God Church,Registered,S70SS0013G,Not Applicable,Religious,Christianity,
68,Bethel Community Services,Registered with IPC,T04SS0113A,From 01/9/2021 to 31/8/2024,Social and Welfare,"Children/Youth,Community,Family","Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
69,Bethel Presbyterian Church,Registered,T12SS0064B,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education
70,BETHESDA (FRANKEL ESTATE) CHURCH LIMITED,Registered,197302391E,Not Applicable,Religious,Christianity,
71,BETHESDA (KATONG) CHURCH,Registered,195000088K,Not Applicable,Religious,Christianity,
72,Bethesda CARE Centre,Registered with IPC,S96SS0198K,From 05/3/2022 to 04/6/2024,Social and Welfare,Community,Direct Services
73,Bethesda Care Services,Registered with IPC,S96SS0146D,From 01/4/2023 to 31/1/2026,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships"
74,Bethesda Cathedral,Registered,S92SS0099F,Not Applicable,Religious,Christianity,
75,BETHESDA CHAPEL LIMITED,Registered,197702882K,Not Applicable,Religious,Christianity,
