S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,#NAME?,Registered,201021998H,Not Applicable,Others,General Charitable Purposes,Grantmaking
2,ABDULLAH SALEH SHOOKER TRUST,Registered,S85CC2085E,Not Applicable,Others,General Charitable Purposes,
3,Abundant Grace Presbyterian Church,Registered,T13SS0122H,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education
4,Abundant Life Baptist Church,Registered,S89SS0054E,Not Applicable,Religious,Christianity,
5,ABUNDANT LIFE FAMILY CHURCH LTD,Registered,197700528D,Not Applicable,Religious,Christianity,
6,"Academy of Chinese Medicine, Singapore",Registered with IPC,T14SS0164C,From 14/7/2021 to 13/7/2024,Health,TCM Clinic,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
7,ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED,Registered,201112640R,Not Applicable,Health,Others,
8,ACS (International) Education Fund,Registered with IPC,T07CC2027A,From 06/6/2020 to 05/6/2023,Education,Local Educational Institutions/Funds,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
9,Acts Baptist Church,Registered,S86SS0075G,Not Applicable,Religious,Christianity,
10,Adventist Community Services,Registered,S60SS0011A,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
11,Adventist Home for the Elders,Registered with IPC,S80SS0046B,From 01/8/2021 to 31/10/2023,Social and Welfare,Eldercare,Direct Services
12,AHMADIYYA MUSLIM MISSION,Registered,S90CC0733J,Not Applicable,Religious,Islam,"Direct Services Financial assistance, bursaries & scholarships"
13,AIDHA LTD.,Registered with IPC,201006653E,From 01/5/2021 to 31/10/2023,Social and Welfare,Community,Training & education
14,AKARAKA LIMITED,Registered,201017533Z,Not Applicable,Others,Children/Youth,"Financial assistance, bursaries & scholarships"
15,ALIFE LTD.,Registered with IPC,200204369H,From 28/8/2022 to 27/2/2025,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
16,ALL SAINTS PRESBYTERIAN CHURCH,Registered,T01SS0182C,Not Applicable,Religious,Christianity,Direct Services
17,AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED,Registered,197300850D,Not Applicable,Religious,Christianity,Training & education
18,Ananias Centre,Registered,S95SS0151B,Not Applicable,Social and Welfare,"Community,Family","Direct Services Public awareness, promotion & advisory Training & education"
19,ANG CHIN MOH FOUNDATION,Registered,201229962D,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Training & education"
20,ANG MO KIO PRESBYTERIAN CHURCH,Registered,T12SS0071H,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Training & education"
21,ANG MO KIO TAMIL METHODIST CHURCH,Registered,S87CC0497E,Not Applicable,Religious,Christianity,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
22,ANG MO KIO-HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T00CC1416D,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
23,Angora Brethren Chapel,Registered,T03SS0149J,Not Applicable,Religious,Christianity,
24,Antioch Missions,Registered,S95SS0015H,Not Applicable,Religious,Christianity,Supports other Charities Training & education
25,Apex Day Rehabilitation Centre For Elderly,Registered with IPC,S89SS0091D,From 01/9/2022 to 31/8/2025,Health,,Direct Services
26,ARC LEARNING ACADEMY LTD.,Registered,201112356K,Not Applicable,Social and Welfare,Disability (Adult),Training & education
27,ARCHERY ASSOCIATION OF SINGAPORE,Registered,S69SS0005C,Not Applicable,Sports,NSAs,
28,"ARK, THE",Deregistered,T07SS0078B,Not Applicable,Religious,Christianity,Direct Services
29,ART OUTREACH SINGAPORE LIMITED,Registered with IPC,200304127K,From 01/4/2022 to 31/3/2025,Arts and Heritage,"Training & Education,Visual Arts",Training & education
30,ARTS THEATRE OF SINGAPORE LTD,Registered with IPC,199500688W,From 16/10/2022 to 15/4/2024,Arts and Heritage,Theatre & Dramatic Arts,Direct Services
31,ARTSWOK COLLABORATIVE LIMITED,Registered with IPC,201432448C,From 01/12/2021 to 30/11/2023,Arts and Heritage,"Literary Arts,Others,Theatre & Dramatic Arts,Training & Education,Visual Arts","Public awareness, promotion & advisory Training & education Research"
32,ASEAN CSR NETWORK LTD.,Registered,201025962K,Not Applicable,Others,Think Tanks,"Public awareness, promotion & advisory Training & education Research"
33,Asia Evangelistic Fellowship,Registered,S61SS0190H,Not Applicable,Religious,Christianity,Direct Services
34,Asia Pacific Hospice Palliative Care Network,Registered,T01SS0003A,Not Applicable,Health,Others,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
35,ASIA THEOLOGICAL CENTER,Registered,S85SS0003H,Not Applicable,Religious,Christianity,Training & education
36,ASIAN BUSINESS LAW INSTITUTE,Registered,201500327G,Not Applicable,Others,Think Tanks,"Public awareness, promotion & advisory Training & education Research"
37,ASIAN FILM ARCHIVE,Registered with IPC,200500010H,From 13/1/2022 to 12/1/2024,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education"
38,ASIAN MEDICAL FOUNDATION LTD.,Registered with IPC,200303941K,From 04/6/2022 to 03/6/2025,Health,Others,Supports other Charities
39,Asian Women's Welfare Association,Deregistered,S70SS0021J,Not Applicable,Social and Welfare,"Community,Disability (Children),Eldercare,Family","Direct Services Public awareness, promotion & advisory Training & education"
40,ASSAS INTERNATIONAL SCHOOL (SINGAPORE),Registered,201117141R,Not Applicable,Education,"Foreign Educational Institutions/Funds,Local Educational Institutions/Funds","Public awareness, promotion & advisory Training & education Research"
41,Assemblies of God Community Services Society,Registered,T00SS0005K,Not Applicable,Social and Welfare,Community,
42,"Assemblies of God of Singapore, The",Registered,S71SS0008J,Not Applicable,Religious,Christianity,Direct Services
43,AT CAPITAL CHARITABLE FOUNDATION LIMITED,Registered,201412023G,Not Applicable,Others,General Charitable Purposes,Grantmaking
44,AYER RAJAH-GEK POH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T11CC0008L,From 01/1/2022 to 31/12/2024,Community,South West,"Financial assistance, bursaries & scholarships"
45,BABES PREGNANCY CRISIS SUPPORT LTD.,Registered with IPC,201314611H,From 01/7/2022 to 30/6/2025,Social and Welfare,Children/Youth,"Direct Services Public awareness, promotion & advisory"
46,BEDOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S90CC0764J,From 01/7/2021 to 30/6/2024,Community,South East,"Financial assistance, bursaries & scholarships"
47,BEDOK RESERVIOR-PUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S88CC0571D,From 01/10/2021 to 30/9/2024,Community,North East,"Financial assistance, bursaries & scholarships Training & education"
48,Bethany Christian Centre,Registered,S89SS0020F,Not Applicable,Religious,Christianity,Direct Services
49,Bethany Evangelical Free Church,Registered,S60SS0023J,Not Applicable,Religious,Christianity,Supports other Charities
50,BETHANY PRESBYTERIAN CHURCH ENGLISH CONGREGATION,Registered,T13SS0059D,Not Applicable,Religious,Christianity,Supports other Charities
51,Bethany Trinity Presbyterian Church,Registered,S88SS0049H,Not Applicable,Religious,Christianity,"Direct Services Public awareness, promotion & advisory Training & education"
52,BETHESDA (SERANGOON) CHURCH LT D,Registered,197902061E,Not Applicable,Religious,Christianity,Training & education
53,Bethesda Community Services Society,Registered,S95SS0026J,Not Applicable,Social and Welfare,"Children/Youth,Community,Eldercare,Family",
54,BETTER.SG LIMITED,Registered,202015048G,Not Applicable,Others,General Charitable Purposes,"Direct Services Public awareness, promotion & advisory Supports other Charities"
55,BGR INTERNATIONAL,Registered,200722544Z,Not Applicable,Others,Humanitarian Aid,Direct Services Grantmaking Supports other Charities Training & education
56,BIRDLIFE INTERNATIONAL (ASIA) LIMITED,Registered,201130578K,Not Applicable,Others,Environment,
57,Bishan East-Sin Ming CCC Community Development and Welfare Fund,Registered with IPC,S92CC0922L,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
58,BLESS COMMUNITY SERVICES,Registered with IPC,T08SS0032L,From 22/2/2022 to 21/11/2023,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Direct Services Training & education
59,BLESSED GRACE SOCIAL SERVICES LIMITED,Registered with IPC,201407233M,From 01/2/2022 to 31/1/2024,Social and Welfare,"Community,Eldercare,Family,Support Groups",Direct Services
60,BLOSSOM SEEDS LIMITED,Registered with IPC,201304904N,From 01/2/2022 to 31/1/2025,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
61,Blossom World Society,Registered with IPC,T08SS0161K,From 29/3/2023 to 28/9/2025,Others,"Children/Youth,General Charitable Purposes","Public awareness, promotion & advisory Supports other Charities Training & education"
62,BO TIEN TEMPLE,Registered,S70SS0033F,Not Applicable,Religious,Taoism,
63,Bo Tien Welfare Services Society,Registered with IPC,S97SS0091H,From 01/11/2021 to 31/7/2024,Social and Welfare,Community,Direct Services
64,Bochasanwasi Shree Akshar Purushottam Swaminarayan Sanstha (Singapore),Registered,T01SS0187E,Not Applicable,Religious,Hinduism,"Public awareness, promotion & advisory"
65,BOON LAY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S87CC0542B,From 01/4/2021 to 31/3/2024,Community,South West,"Financial assistance, bursaries & scholarships"
66,BOP HUB LTD.,Registered,201334143M,Not Applicable,Others,"General Charitable Purposes,Think Tanks","Public awareness, promotion & advisory Training & education Research"
67,BORDER MISSION LIMITED,Registered,201437049R,Not Applicable,Others,General Charitable Purposes,
68,Boscombe Life Church,Registered,S78SS0038D,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Training & education"
69,BOYS' TOWN ALUMNI CHARITY FUND,Deregistered,T11CC0006H,Not Applicable,Social and Welfare,Children/Youth,Training & education
70,BRADDELL HEIGHTS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0795C,From 01/7/2021 to 30/6/2024,Community,South East,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
71,BRASH TRUST,Registered,S84CC0074F,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
72,Bread of Life (Singapore),Registered,S98SS0016H,Not Applicable,Religious,Christianity,Direct Services
73,Breadline Group,Registered with IPC,S75SS0039G,From 01/7/2022 to 31/12/2025,Social and Welfare,Community,"Financial assistance, bursaries & scholarships"
74,Brickland CCC Community Development and Welfare Fund,Registered with IPC,T20CC0007B,From 01/10/2022 to 30/9/2025,Community,South West,"Financial assistance, bursaries & scholarships"
75,BRIDGELIFE COMMUNITIES LTD.,Registered,201130551H,Not Applicable,Social and Welfare,"Children/Youth,Community","Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
76,"Buddhist Fo Yuan Lin Monastery, The",Registered,T06SS0001A,Not Applicable,Religious,Buddhism,Training & education
77,Buddhist Research Society,Registered,S81SS0026H,Not Applicable,Religious,Buddhism,Research Supports other Charities Training & education
78,BUDS THEATRE,Registered,T11SS0182F,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
79,BUKIT BATOK EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T02CC1597H,From 01/4/2023 to 31/3/2026,Community,South West,"Financial assistance, bursaries & scholarships Supports other Charities"
80,BUKIT GOMBAK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0658F,From 01/1/2022 to 31/12/2024,Community,South West,"Financial assistance, bursaries & scholarships"
81,BUKIT PANJANG GOSPEL CHAPEL LTD,Registered,198703252G,Not Applicable,Religious,Christianity,
82,Bukit Timah Seu Teck Sean Tong,Registered,S66SS0014H,Not Applicable,Religious,Buddhism,
83,BUKIT TIMAH SEU TECK SEAN TONG INSTITUTION LIMITED,Registered with IPC,201613180H,From 30/7/2022 to 29/7/2025,Health,TCM Clinic,"Direct Services Public awareness, promotion & advisory Training & education"
84,Calvary Chapel (Singapore) Living Water,Registered,S92SS0050L,Not Applicable,Religious,Christianity,
85,Calvary Community Care,Registered with IPC,T10SS0047C,From 01/2/2022 to 31/10/2024,Social and Welfare,Community,Direct Services Training & education
86,Calvary Tengah Bible-Presbyterian Church,Registered,T03SS0196B,Not Applicable,Religious,Christianity,
87,CampusImpact,Registered with IPC,T06SS0077A,From 01/7/2022 to 30/6/2025,Social and Welfare,Family,"Public awareness, promotion & advisory Training & education"
88,Cana Bible - Presbyterian Church,Registered,S90SS0094E,Not Applicable,Religious,Christianity,
89,CANOSSA MISSION SINGAPORE,Registered with IPC,201020087W,From 02/11/2021 to 01/11/2023,Social and Welfare,Children/Youth,Training & education
90,Care Community Church,Registered,S84SS0033G,Not Applicable,Religious,Christianity,
91,Care Corner - Teck Ghee Youth Centre,Deregistered,T07SS0217B,Not Applicable,Social and Welfare,Children/Youth,Direct Services
92,Care Corner Counselling Centre,Deregistered,S90SS0052D,Not Applicable,Social and Welfare,"Community,Family,Support Groups",
93,Care for the Elderly Foundation (Singapore),Registered with IPC,S95SS0134B,From 01/2/2022 to 31/1/2025,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
94,CAREGIVERS ALLIANCE LIMITED,Registered with IPC,201131617N,From 01/11/2020 to 31/10/2023,Social and Welfare,Support Groups,Training & education
95,CAREGIVING WELFARE ASSOCIATION,Registered with IPC,T04SS0073G,From 01/8/2021 to 31/7/2024,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Training & education"
96,CARING FLEET SERVICES LIMITED,Registered with IPC,201000618K,From 23/1/2021 to 22/1/2024,Social and Welfare,"Disability (Adult),Disability (Children)",Direct Services Supports other Charities
97,Caring for Cambodia Fund,Registered,T08CC2141J,Not Applicable,Others,General Charitable Purposes,Training & education
98,CARING FOR LIFE LTD.,Registered with IPC,201938707Z,From 07/3/2023 to 06/3/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
99,CARINGSG LIMITED,Registered with IPC,202034409E,From 19/1/2023 to 18/1/2024,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education"
100,Carmel Presbyterian Church,Registered,S84SS0074A,Not Applicable,Religious,Christianity,Training & education
101,CAT WELFARE SOCIETY,Registered with IPC,S99SS0144E,From 09/12/2022 to 08/12/2024,Others,Animal Welfare,"Public awareness, promotion & advisory"
102,CATCH THEM YOUNG LIMITED,Registered with IPC,201540730N,From 21/9/2022 to 20/9/2023,Social and Welfare,Children/Youth,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
103,Catholic AIDS Response Effort,Registered with IPC,T04SS0204E,From 01/2/2022 to 31/1/2024,Social and Welfare,Community,
104,CAUSES FOR ANIMALS (SINGAPORE) LIMITED,Registered with IPC,201314186Z,From 15/2/2023 to 14/2/2026,Others,Animal Welfare,"Public awareness, promotion & advisory Supports other Charities Training & education"
105,CELEBRATE CHRISTMAS IN SINGAPORE LIMITED,Registered,200412861G,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities"
106,CENACLE MISSION (SINGAPORE) LTD.,Registered,201512247H,Not Applicable,Religious,Christianity,
107,CENTRE FOR FATHERING LIMITED,Registered with IPC,200101825N,From 01/10/2021 to 30/6/2024,Social and Welfare,Family,"Public awareness, promotion & advisory Training & education"
108,Centre of Activity and Recreation for the Elders (CARE),Registered with IPC,S83SS0001F,From 01/5/2023 to 30/4/2026,Health,Others; Active Ageing,Direct Services Training & education
109,Centre of Hope Church,Registered,S87SS0050L,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
110,Changi Baptist Church,Registered,S77SS0021L,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
111,Changi Bethany Church,Registered,T12SS0147D,Not Applicable,Religious,Christianity,Supports other Charities
112,Changi Christian Fellowship,Registered,T03SS0107H,Not Applicable,Religious,Christianity,Direct Services
113,CHANGI HEALTH FUND (LTD.),Deregistered,201133557D,Not Applicable,Health,,"Direct Services Grantmaking Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
114,CHANGI METHODIST CHURCH,Registered,S87CC0505C,Not Applicable,Religious,Christianity,
115,Chao Ying Kong Temple,Registered,S94SS0007A,Not Applicable,Religious,Taoism,
116,CHARACTER & LEADERSHIP ACADEMY LIMITED,Registered,201412408N,Not Applicable,Others,Children/Youth,"Direct Services Research Supports other Charities Grantmaking Training & education Public awareness, promotion & advisory"
117,Charis Centre,Registered,T00SS0185H,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups",
118,Charn Mao Hern Kew Huang Keng,Registered,S87SS0017G,Not Applicable,Religious,Taoism,Supports other Charities
119,CHECKPOINT THEATRE LIMITED,Registered with IPC,200209251R,From 01/1/2023 to 31/12/2024,Arts and Heritage,Theatre & Dramatic Arts,"Public awareness, promotion & advisory Training & education"
120,CHEE HWAN KOG CHILDCARE CENTRE,Registered,S93CC0969H,Not Applicable,Social and Welfare,Children/Youth,Direct Services Training & education
121,Chee Tian Keng Temple,Registered,S93SS0010G,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships Supports other Charities"
122,Chek Sian Tng,Registered,S92SS0044A,Not Applicable,Religious,Buddhism,Direct Services
123,Cheng Hong Welfare Service Society,Registered with IPC,T04SS0148G,From 01/2/2023 to 31/1/2026,Health,TCM Clinic,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
124,CHENG SAN - SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S86CC0356D,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
125,Cheo Bu Tong Temple,Registered,S96SS0028F,Not Applicable,Religious,Taoism,Direct Services
126,Cherith Baptist Church,Registered,S60SS0006J,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
127,Chi Hock Keng Temple,Registered,S90SS0004D,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory Supports other Charities"
128,"CHILDCARE AND CHILDREN FUND,THE",Registered,S93CC0953E,Not Applicable,Social and Welfare,Support Groups,Direct Services
129,Chin Khong Kow Poon Guan San Toh Tong,Registered,S99SS0091G,Not Applicable,Religious,Taoism,Direct Services
130,CHINESE ANNUAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE,Registered,S90CC0752A,Not Applicable,Religious,Christianity,Direct Services Training & education
131,CHINESE THEATRE CIRCLE LIMITED,Registered,199502067G,From 01/3/2021 to 31/8/2021,Arts and Heritage,Traditional Ethnic Performing Arts,"Direct Services Public awareness, promotion & advisory Training & education"
132,CHOA CHU KANG BIBLE CENTRE KINDERGARTEN,Deregistered,S97CC1289D,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
133,CHONG PANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T03CC1661B,From 01/4/2021 to 31/3/2024,Community,North West,"Financial assistance, bursaries & scholarships"
134,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,Registered,201526674R,Not Applicable,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships"
135,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (FENGSHAN) LTD.,Registered,201404167K,Not Applicable,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships Training & education"
136,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.,Registered,201003141H,Not Applicable,Social and Welfare,Children/Youth,Training & education
137,CHOW TAI FOOK CHARITY FOUNDATION (SINGAPORE) LIMITED,Registered,201604228M,Not Applicable,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
138,CHOWK PRODUCTIONS LTD.,Registered with IPC,201411870W,From 27/12/2022 to 31/12/2023,Arts and Heritage,"Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education",Training & education
139,CHRISTIAN AGAPE FELLOWSHIP LTD,Registered,198305429M,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
140,CHRISTIAN CARE SERVICES (SINGAPORE),Registered,S99SS0072D,Not Applicable,Social and Welfare,Community,
141,Christian Community Church,Registered,T03SS0043J,Not Applicable,Religious,Christianity,
142,CHRISTIAN COVENANT FELLOWSHIP LTD.,Registered,200909045D,Not Applicable,Religious,Christianity,
143,Christian Disciples Church,Registered,S87SS0095L,Not Applicable,Religious,Christianity,
144,CHRISTIAN GRACE PRESBYTERIAN CHURCH LTD,Registered,197903636E,Not Applicable,Religious,Christianity,Direct Services Training & education
145,Christian Renewal Mission,Registered,S95SS0029H,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education Research
146,Chu Sheng Temple,Registered,S78SS0057G,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships Supports other Charities"
147,CHUA CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2019K,From 01/10/2021 to 30/9/2024,Community,South West,"Financial assistance, bursaries & scholarships"
148,Church of Christ - Lavender,Registered,T03SS0001H,Not Applicable,Religious,Christianity,Training & education
149,CHURCH OF CHRIST - LIM AH PIN ROAD,Registered,S88SS0012K,Not Applicable,Religious,Christianity,
150,"CHURCH OF CHRIST, MOULMEIN ROAD",Registered,S78SS0030C,Not Applicable,Religious,Christianity,Direct Services
151,"Church of Christ, Pasir Panjang (Chinese)",Registered,T03SS0182B,Not Applicable,Religious,Christianity,
152,CHURCH OF GOD (EVANGELICAL) LTD,Registered,197902131C,Not Applicable,Religious,Christianity,
153,Church of Joy,Registered,S95SS0104J,Not Applicable,Religious,Christianity,Training & education
154,CHURCH OF MARKETPLACE LTD.,Registered,201012290W,Not Applicable,Religious,Christianity,Direct Services
155,Church of Praise,Registered,S87SS0022K,Not Applicable,Religious,Christianity,Direct Services
156,Church of the Epiphany,Exempt Charity,T08CC4067H,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
157,CITY CHINESE ORCHESTRA (SINGAPORE) LTD,Registered,199707455Z,Not Applicable,Arts and Heritage,Music & Orchestras,
158,CITY COLLEGE HOLDINGS LTD.,Deregistered,200517866G,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
159,Civilians Association (Singapore),Registered,S72SS0023L,Not Applicable,Others,General Charitable Purposes,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory"
160,CLUB HEAL,Registered with IPC,T12SS0028K,From 29/4/2023 to 28/4/2026,Health,,"Direct Services Public awareness, promotion & advisory"
161,Coalition Against Bullying for Children and Youth (CABCY),Registered,T05SS0272J,Not Applicable,Social and Welfare,"Children/Youth,Community","Public awareness, promotion & advisory Training & education Research"
162,"COLLEGE OF PHYSICIANS, SINGAPORE",Registered,200410334R,Not Applicable,Health,,Training & education
163,"COLLEGE OF RADIOLOGISTS, SINGAPORE",Registered,200410338Z,Not Applicable,Health,,Training & education
164,"COLLEGE OF SURGEONS, SINGAPORE",Registered,200410341R,Not Applicable,Health,,Training & education
165,COMMON PURPOSE ASIA-PACIFIC LIMITED,Registered,201331830Z,Not Applicable,Education,Others,Training & education
166,COMO FOUNDATION,Registered,201107654R,Not Applicable,Others,General Charitable Purposes,Grantmaking Supports other Charities
167,COMPASSION FUND LTD.,Registered with IPC,200904371Z,From 01/3/2022 to 30/11/2024,Social and Welfare,"Children/Youth,Family","Direct Services Financial assistance, bursaries & scholarships"
168,Concern & Care Society,Registered,T01SS0058F,From 01/2/2021 to 31/1/2023,Health,"Other Community-based Services,Others",Direct Services
169,Conservation International Singapore Conservation Trust,Registered with IPC,T17CC0001C,From 20/2/2023 to 19/3/2024,Others,Environment,"Grantmaking Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
170,CONTEMPORARY PERFORMANCE AND CO LTD.,Registered,202005782R,Not Applicable,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Public awareness, promotion & advisory Training & education"
171,Cornerstone Evangelical Baptist Church,Registered,S98SS0130L,Not Applicable,Religious,Christianity,Direct Services Training & education
172,Coronation Baptist Church,Registered,S90SS0036L,Not Applicable,Religious,Christianity,Training & education
173,"Covenant Evangelical Reformed Church (CERC), The",Registered,S87SS0106H,Not Applicable,Religious,Christianity,
174,CROCODILE FOUNDATION LTD.,Registered,201535138W,Not Applicable,Others,General Charitable Purposes,Grantmaking
175,CYCLING WITHOUT AGE SINGAPORE LTD.,Registered with IPC,201714757N,From 01/11/2022 to 31/10/2025,Health,Other Community-based Services,Direct Services Supports other Charities Training & education
176,Da Sheng Kong Chinese Temple,Registered,S89SS0076G,Not Applicable,Religious,Taoism,Direct Services
177,DANA ASIA,Registered,201106512M,Not Applicable,Others,General Charitable Purposes,
178,DAS INTERNATIONAL SERVICES LTD.,Registered,201111119G,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
179,DAUGHTERS OF TOMORROW LIMITED,Registered with IPC,201425430M,From 09/10/2022 to 08/1/2024,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory Training & education"
180,Dermatological Society of Singapore,Registered,S72SS0047E,Not Applicable,Health,Others,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
