S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,#NAME?,Registered,201021998H,Not Applicable,Others,General Charitable Purposes,Grantmaking
2,365 CANCER PREVENTION SOCIETY,Registered with IPC,T03SS0046H,From 01/11/2021 to 31/10/2024,Health,"Other Community-based Services,Others; Nutrition Counselling","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
3,ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED,Registered with IPC,201022774G,From 29/8/2020 to 28/5/2023,Social and Welfare,Disability (Adult),Direct Services
4,Abundant Grace Presbyterian Church,Registered,T13SS0122H,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education
5,ABUNDANT LIFE FAMILY CHURCH LTD,Registered,197700528D,Not Applicable,Religious,Christianity,
6,"Academy of Chinese Medicine, Singapore",Registered with IPC,T14SS0164C,From 14/7/2021 to 13/7/2024,Health,TCM Clinic,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
7,ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED,Registered,201112640R,Not Applicable,Health,Others,
8,ACMI Migrant Fund,Registered with IPC,T16CC0006L,From 04/9/2022 to 03/4/2024,Social and Welfare,"Community,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
9,ACS (International) Education Fund,Registered with IPC,T07CC2027A,From 06/6/2020 to 05/6/2023,Education,Local Educational Institutions/Funds,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
10,Action for Singapore Dogs Society,Registered,T02SS0132E,Not Applicable,Others,Animal Welfare,
11,Adventist Home for the Elders,Registered with IPC,S80SS0046B,From 01/8/2021 to 31/10/2023,Social and Welfare,Eldercare,Direct Services
12,Agape Christian Centre,Registered,T00SS0010B,Not Applicable,Religious,Christianity,Direct Services Training & education
13,AHMADIYYA MUSLIM MISSION,Registered,S90CC0733J,Not Applicable,Religious,Islam,"Direct Services Financial assistance, bursaries & scholarships"
14,AIDHA LTD.,Registered with IPC,201006653E,From 01/5/2021 to 31/10/2023,Social and Welfare,Community,Training & education
15,ALEXANDRA HEALTH FUND LIMITED,Registered with IPC,201427909W,From 21/6/2021 to 20/6/2024,Health,,Grantmaking Research
16,ALIFE LTD.,Registered with IPC,200204369H,From 28/8/2022 to 27/2/2025,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
17,Alive Community Church,Registered,T03SS0128C,Not Applicable,Religious,Christianity,Supports other Charities
18,ALIVE COMMUNITY NETWORK,Registered with IPC,T02SS0190K,From 01/11/2020 to 31/10/2023,Social and Welfare,Community,
19,ALL GOOD GIFTS LTD,Registered,198900203M,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
20,All Saints' Church (English Congregation),Exempt Charity,T08CC4058K,Not Applicable,Religious,Christianity,Supports other Charities Training & education
