S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,"*SCAPE CO., LTD.",Registered with IPC,200712761D,From 21/10/2021 to 20/10/2024,Others,Children/Youth,Direct Services
2,365 CANCER PREVENTION SOCIETY,Registered with IPC,T03SS0046H,From 01/11/2021 to 31/10/2024,Health,"Other Community-based Services,Others; Nutrition Counselling","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
3,ACADEMY OF MEDICINE SINGAPORE,Registered with IPC,197702012E,From 17/5/2022 to 16/5/2025,Health,,"Public awareness, promotion & advisory Training & education"
4,Action For Aids (Singapore),Registered with IPC,S88SS0126A,From 30/12/2021 to 29/12/2024,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Research"
5,ADAM ROAD PRESBYTERIAN CHURCH,Registered,T12SS0060G,Not Applicable,Religious,Christianity,
6,Alexandra Health Endowment Fund,Deregistered,T10CC0006C,Not Applicable,Health,,"Financial assistance, bursaries & scholarships"
7,Alzheimer's Disease Association,Deregistered,S91SS0018J,From 01/1/2019 to 31/12/2021,Health,,"Direct Services Public awareness, promotion & advisory Training & education Research"
8,AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED,Registered,197300850D,Not Applicable,Religious,Christianity,Training & education
9,AMKFSC COMMUNITY SERVICES LTD.,Registered with IPC,201229817Z,From 01/4/2021 to 30/9/2023,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Direct Services
10,"Ang Mo Kio Family Service Centres, The",Deregistered,S84SS0050G,Not Applicable,Social and Welfare,"Community,Family",Direct Services
11,ANG MO KIO METHODIST CHURCH (TRAC),Registered,S87CC0491G,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
12,Apex Harmony Lodge,Registered with IPC,S95SS0086F,From 30/4/2021 to 29/4/2024,Health,Nursing Home,Direct Services
13,ARTS HOUSE LTD.,Registered with IPC,200210647W,From 01/1/2023 to 31/12/2023,Arts and Heritage,Others,Direct Services
14,Arya Samaj Singapore,Registered,S62SS0019A,Not Applicable,Religious,Hinduism,"Financial assistance, bursaries & scholarships Training & education"
15,ASIAN VENTURE PHILANTHROPY NETWORK LIMITED,Registered,201016116M,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Training & education Research"
16,ASSOCIATION OF MUSLIM PROFESSIONALS,Registered with IPC,199105100D,From 10/10/2018 to 09/10/2023,Others,Self-Help Groups,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
