Receiving NPO Name*,UEN
Samaritans of Singapore,S69SS0047D
SPD (formerly Society for the Physically Disabled),S64SS0052D
SPD (formerly Society for the Physically Disabled),S64SS0052D
Habitat for Humanity Singapore Ltd,200201617W
Children's Cancer Foundation,201934434R
Zonta Singapore - Project Pari Fund,T10CC0004L
VIVA Foundation for Children with Cancer,200601578E
Oasis Second Chance Animal Shelter Ltd,201406657D
Community Chest,T03CC1692B
St. Andrew's Mission Hospital,T08CC3017C
Free Food For All Limited,201503391Z
HCA HOSPICE CARE,S89SS0106G
Marymount Centre,201402049Z
Habitat for Humanity Singapore Ltd,200201617W
Diabetes Singapore,S71SS0043E
Promisedland Community Services,T02SS0212H
Boys' Town,201534576H
Children's Charities Association,S66SS0023F
TTSH Community Fund,201400920N
Community Cancer Fund,T00CC1481D
NCC Research Fund,T05CC1897G
Sathya Sai Social Service (Singapore),S96SS0160E
St. Andrew's Mission Hospital,T08CC3017C
TTSH Community Fund,201400920N
Children's Cancer Foundation,201934434R
Kwong Wai Shiu Hospital,201615448C
Make-A-Wish Foundation (S) Ltd,200201965D
Cat Welfare Society,S99SS0144E
Centre for Fathering Ltd,200101825N
Society for the Prevention of Cruelty to Animals,S61SS0060B
Persatuan Pemudi Islam Singapura (PPIS),S64SS0011K
SingHealth Foundation,T02CC1576B
Yayasan MENDAKI,198902633C
Christian Outreach to the Handicapped,S87SS0014H
AMKFSC Community Services,201229817Z
Free Food For All Limited,201503391Z
Muscular Dystrophy Association (Singapore),T00SS0094D
Canossaville Children and Community Services,S87CC0462K
SingHealth Foundation,T02CC1576B
Yellow Ribbon Fund,T04CC1808H
Singapore Chinese Dance Theatre,201419196W
Down Syndrome Association,S96SS0170K
SOCIETY FOR WINGS,T07SS0263K
HCA HOSPICE CARE,S89SS0106G
NUHS Fund Limited,201203593Z
St. Andrew's Mission Hospital,T08CC3017C
YMCA of Singapore,S61SS0045E
T.H.E Dance Company Ltd.,200818017E
Riding For The Disabled Association of Singapore,S82SS0081H
Singapore Association for Mental Health,S68SS0038A
Parkinson Society Singapore,S96SS0203J
Morning Star Community Services Ltd.,201617675H
Morning Star Community Services Ltd.,201617675H
Morning Star Community Services Ltd.,201617675H
Morning Star Community Services Ltd.,201617675H
Parkinson Society Singapore,S96SS0203J
Daughters Of Tomorrow Limited,201425430M
Project Orbis International Inc (Singapore) Ltd,201332607E
SHINE Children and Youth Services,S76SS0021F
Fencing Singapore,S65SS0025D
Fencing Singapore,S65SS0025D
Assisi Hospice,201208993Z
Autism Association (Singapore),S92SS0124D
Autism Association (Singapore),S92SS0124D
Metropolitan YMCA Singapore,S63SS0006B
Waterways Watch Society,S99SS0038D
TTSH Community Fund,201400920N
Free Food For All Limited,201503391Z
NNI Health Endowment Fund,T00CC1410F
NUHS Fund Limited,201203593Z
The National Kidney Foundation,200104750M
The Food Bank Singapore Ltd,201200654E
World Vision Singapore,S81FC3015E
St. Andrew's Mission Hospital,T08CC3017C
Apex Day Rehabilitation Centre For Elderly,S89SS0091D
Bartley Community Care Services,T01SS0004H
Bartley Community Care Services,T01SS0004H
SPD (formerly Society for the Physically Disabled),S64SS0052D
Epworth Community Services,T08SS0123D
Yayasan MENDAKI,198902633C
Singapore Anglican Community Services,S75SS0005H
Singapore Cancer Society,S65SS0033F
HANDICAPS WELFARE ASSOCIATION,S69SS0057J
St. John's Home For Elderly Persons,S61SS0176G
WE CARE Community Services Limited,200506089N
Project Orbis International Inc (Singapore) Ltd,201332607E
Bartley Community Care Services,T01SS0004H
Bartley Community Care Services,T01SS0004H
Caritas Singapore Community Council - The Caritas Singapore Agape Fund,T06CC2001K
Care Corner Singapore Ltd,198105641M
Care Corner Singapore Ltd,198105641M
Care Corner Singapore Ltd,198105641M
Care Corner Singapore Ltd,198105641M
Care Corner Singapore Ltd,198105641M
Care Corner Singapore Ltd,198105641M
NUHS Fund Limited,201203593Z
Operation Hope Foundation,200104386W
Singapore Association of the Visually Handicapped,S61SS0119J
The Community Foundation of Singapore,200817758M
Care for the Elderly Foundation (Singapore),S95SS0134B
President's Challenge,T03CC1692B
Caritas Singapore Community Council - The Caritas Singapore Agape Fund,T06CC2001K
Montfort Care,200814118E
Sree Narayana Mission (Singapore),S48SS0016D
Sree Narayana Mission (Singapore),S48SS0016D
Caregiving Welfare Association,T04SS0073G
Care Community Services Society,S96SS0195L
President's Challenge,T03CC1692B
Kidney Dialysis Foundation,199600830Z
Disabled People's Association,S86SS0002F
Club Rainbow (Singapore),S92SS0137H
Conservation International Asia-Pacific Ltd,200910510N
Conservation International Asia-Pacific Ltd,200910510N
The Salvation Army,T07CC3012G
HCSA Community Services,S97SS0023J
Care Corner Singapore Ltd,198105641M
Free Food For All Limited,201503391Z
Cat Welfare Society,S99SS0144E
TTSH Community Fund,201400920N
Metta Welfare Association,S94SS0081K
NNI Health Research Endowment Fund,T06CC1963D
Morning Star Community Services Ltd.,201617675H
The Helping Hand,S88SS0058F
Club Rainbow (Singapore),S92SS0137H
YMCA of Singapore,S61SS0045E
NUHS Fund Limited,201203593Z
Caritas Singapore Community Council - The Caritas Singapore Agape Fund,T06CC2001K
Garden City Fund,T02CC1634C
The Mission to Seafarers Singapore,S83SS0014K
Singapore Cancer Society,S65SS0033F
Bright Vision Hospital,200105451R
TTSH Community Fund,201400920N
New Opera Singapore Ltd.,201114924K
The Mission to Seafarers Singapore,S83SS0014K
Focus on the Family Singapore Limited,200108115N
United Women Singapore,S97SS0098B
Singapore Dragon Boat Association,S87SS0101F
St. John's Home For Elderly Persons,S61SS0176G
Singapore Cancer Society,S65SS0033F
Society for the Prevention of Cruelty to Animals,S61SS0060B
Club Rainbow (Singapore),S92SS0137H
Assisi Hospice,201208993Z
Willing Hearts,T05SS0071J
New Opera Singapore Ltd.,201114924K
Down Syndrome Association,S96SS0170K
Animal Lovers League,T02SS0040E
Metta Welfare Association,S94SS0081K
Chen Su Lan Methodist Children's Home,S68SS0016K
The Community Foundation of Singapore,200817758M
Noah's Ark Companion Animal Rescue & Education Society,T05SS0171L
Care for the Elderly Foundation (Singapore),S95SS0134B
The Singapore Eye Foundation,S83SS0015F
Mercy Relief,200306035Z
NCC Research Fund,T05CC1897G
Project Orbis International Inc (Singapore) Ltd,201332607E
Hagar Singapore Ltd,200401226H
Arc Children's Centre Co Ltd,201021661K
Autism Association (Singapore),S92SS0124D
Autism Association (Singapore),S92SS0124D
FAMILY LIFE FIRST,S97SS0016C
AWWA Ltd,201500785Z
365 Cancer Prevention Society,T03SS0046H
Make-A-Wish Foundation (S) Ltd,200201965D
Riding For The Disabled Association of Singapore,S82SS0081H
Project Orbis International Inc (Singapore) Ltd,201332607E
Children's Aid Society,S62SS0031K
Free Food For All Limited,201503391Z
Muhammadiyah Welfare Home,S89CC0701L
The National Kidney Foundation,200104750M
Special Olympics Singapore,S91SS0003B
NUHS Fund Limited,201203593Z
Montfort Care,200814118E
Singapore Disability Sports Council,S73SS0035B
Chen Su Lan Methodist Children's Home,S68SS0016K
Children's Cancer Foundation,201934434R
Care Community Services Society,S96SS0195L
HCA HOSPICE CARE,S89SS0106G
Singapore Cancer Society,S65SS0033F
Singapore Cancer Society,S65SS0033F
Singapore Cancer Society,S65SS0033F
HCA HOSPICE CARE,S89SS0106G
SPD (formerly Society for the Physically Disabled),S64SS0052D
Care Community Services Society,S96SS0195L
BEYOND SOCIAL SERVICES,S87SS0025J
VIVA Foundation for Children with Cancer,200601578E
Circle of Friends Limited,201433751W
Boys' Town,201534576H
Boys' Town,201534576H
Boys' Town,201534576H
The National Kidney Foundation,200104750M
SHINE Children and Youth Services,S76SS0021F
Make-A-Wish Foundation (S) Ltd,200201965D
Nanyang Technological University,200604393R
O'JOY CARE SERVICES,T04SS0047J
Community Cancer Fund,T00CC1481D
