Receiving NPO Name*,UEN
Samaritans of Singapore,S69SS0047D
SPD (formerly Society for the Physically Disabled),S64SS0052D
Habitat for Humanity Singapore Ltd,200201617W
Children's Cancer Foundation,201934434R
Zonta Singapore - Project Pari Fund,T10CC0004L
VIVA Foundation for Children with Cancer,200601578E
Oasis Second Chance Animal Shelter Ltd,201406657D
Community Chest,T03CC1692B
St. Andrew's Mission Hospital,T08CC3017C
Free Food For All Limited,201503391Z
HCA HOSPICE CARE,S89SS0106G
Marymount Centre,201402049Z
Diabetes Singapore,S71SS0043E
Promisedland Community Services,T02SS0212H
Boys' Town,201534576H
Children's Charities Association,S66SS0023F
TTSH Community Fund,201400920N
Community Cancer Fund,T00CC1481D
NCC Research Fund,T05CC1897G
Sathya Sai Social Service (Singapore),S96SS0160E
Kwong Wai Shiu Hospital,201615448C
Make-A-Wish Foundation (S) Ltd,200201965D
Cat Welfare Society,S99SS0144E
Centre for Fathering Ltd,200101825N
Society for the Prevention of Cruelty to Animals,S61SS0060B
Persatuan Pemudi Islam Singapura (PPIS),S64SS0011K
SingHealth Foundation,T02CC1576B
Yayasan MENDAKI,198902633C
Christian Outreach to the Handicapped,S87SS0014H
AMKFSC Community Services,201229817Z
Muscular Dystrophy Association (Singapore),T00SS0094D
Canossaville Children and Community Services,S87CC0462K
Yellow Ribbon Fund,T04CC1808H
Singapore Chinese Dance Theatre,201419196W
Down Syndrome Association,S96SS0170K
SOCIETY FOR WINGS,T07SS0263K
NUHS Fund Limited,201203593Z
YMCA of Singapore,S61SS0045E
T.H.E Dance Company Ltd.,200818017E
Riding For The Disabled Association of Singapore,S82SS0081H
Singapore Association for Mental Health,S68SS0038A
Parkinson Society Singapore,S96SS0203J
Morning Star Community Services Ltd.,201617675H
Daughters Of Tomorrow Limited,201425430M
Project Orbis International Inc (Singapore) Ltd,201332607E
SHINE Children and Youth Services,S76SS0021F
Fencing Singapore,S65SS0025D
Assisi Hospice,201208993Z
Autism Association (Singapore),S92SS0124D
Metropolitan YMCA Singapore,S63SS0006B
Waterways Watch Society,S99SS0038D
NNI Health Endowment Fund,T00CC1410F
The National Kidney Foundation,200104750M
The Food Bank Singapore Ltd,201200654E
World Vision Singapore,S81FC3015E
Apex Day Rehabilitation Centre For Elderly,S89SS0091D
Bartley Community Care Services,T01SS0004H
Epworth Community Services,T08SS0123D
Singapore Anglican Community Services,S75SS0005H
Singapore Cancer Society,S65SS0033F
HANDICAPS WELFARE ASSOCIATION,S69SS0057J
St. John's Home For Elderly Persons,S61SS0176G
WE CARE Community Services Limited,200506089N
Caritas Singapore Community Council - The Caritas Singapore Agape Fund,T06CC2001K
Care Corner Singapore Ltd,198105641M
Operation Hope Foundation,200104386W
Singapore Association of the Visually Handicapped,S61SS0119J
The Community Foundation of Singapore,200817758M
Care for the Elderly Foundation (Singapore),S95SS0134B
Montfort Care,200814118E
Sree Narayana Mission (Singapore),S48SS0016D
Caregiving Welfare Association,T04SS0073G
Care Community Services Society,S96SS0195L
Kidney Dialysis Foundation,199600830Z
Disabled People's Association,S86SS0002F
Club Rainbow (Singapore),S92SS0137H
Conservation International Asia-Pacific Ltd,200910510N
The Salvation Army,T07CC3012G
HCSA Community Services,S97SS0023J
Metta Welfare Association,S94SS0081K
NNI Health Research Endowment Fund,T06CC1963D
The Helping Hand,S88SS0058F
Garden City Fund,T02CC1634C
The Mission to Seafarers Singapore,S83SS0014K
Bright Vision Hospital,200105451R
New Opera Singapore Ltd.,201114924K
Focus on the Family Singapore Limited,200108115N
United Women Singapore,S97SS0098B
Singapore Dragon Boat Association,S87SS0101F
Willing Hearts,T05SS0071J
Animal Lovers League,T02SS0040E
Chen Su Lan Methodist Children's Home,S68SS0016K
Noah's Ark Companion Animal Rescue & Education Society,T05SS0171L
The Singapore Eye Foundation,S83SS0015F
Mercy Relief,200306035Z
Hagar Singapore Ltd,200401226H
Arc Children's Centre Co Ltd,201021661K
FAMILY LIFE FIRST,S97SS0016C
AWWA Ltd,201500785Z
365 Cancer Prevention Society,T03SS0046H
Children's Aid Society,S62SS0031K
Muhammadiyah Welfare Home,S89CC0701L
Special Olympics Singapore,S91SS0003B
Singapore Disability Sports Council,S73SS0035B
BEYOND SOCIAL SERVICES,S87SS0025J
Circle of Friends Limited,201433751W
Nanyang Technological University,200604393R
O'JOY CARE SERVICES,T04SS0047J
SingHealth Fund,201624016E
Fei Yue Family Service Centre,S94SS0031G
ONE (SINGAPORE),T05SS0263L
Beautiful People SG Ltd,201525056H
Lakeside Family Services,S97SS0022B
Singapore Red Cross Society,S86CC0370E
World Toilet Organization Ltd,200205358C
The New Charis Mission,T06SS0166B
Malay Youth Literary Association,S48SS0014A
The Straits Times School Pocket Money Fund,T11CC0007D
The Bone Marrow Donor Programme,S93SS0141J
Fei Yue Community Services,S96SS0134G
Breast Cancer Foundation,S97SS0137L
Society for the Aged Sick,S68SS0022J
New Life Stories,201411304Z
Singapore Repertory Theatre,199301614N
Singapore Children's Society,S62SS0057G
Jump Rope Federation Singapore,T13SS0090E
SINGAPORE NATIONAL STROKE ASSOCIATION,S96SS0196G
Dover Park Hospice,S92SS0138D
Bizlink Centre (S) Ltd,199500566R
Alzheimer's Disease Association,S91SS0018J
Mediacorp Enable Fund,200822425N
All Saints Home,S87SS0068F
ArtsWok Collaborative Limited,201432448C
St Luke's Hospital,199205095C
Caregivers Alliance Limited,201131617N
Action for Singapore Dogs Society,T02SS0132E
Singapore Anti-Narcotics Association,S72SS0018H
ACRES,T01SS0121K
Migrant Workers' Assistance Fund,T12CC0003C
CLARITY SINGAPORE LIMITED,201021634E
Singapore Swimming Association,S61SS0088B
The Singapore Association for the Deaf,S62SS0061C
Special Olympics Asia Pacific Ltd,200906631E
Brahm Centre Ltd,200200167M
Blossom World Society,T08SS0161K
Just Parenting Association,T04SS0013K
Pangdemonium Theatre Company Ltd.,201229915M
Babes Pregnancy Crisis Support Ltd,201314611H
Shan You,S95SS0103B
Lions Befrienders Service Association,S95SS0076A
INTERCULTURAL THEATRE INSTITUTE LTD,200818680E
Halogen Foundation (Singapore),200308081M
REACH Community Services Society,S98SS0144L
Children's Wishing Well,200201465K
ARTDIS (Singapore) Ltd.,199500567G
IC2 PrepHouse Limited,201136583G
SUN-DAC,S93SS0060K
National Heritage Board - National Heritage Fund,T03CC1717K
Ren Ci Hospital,201018593M
RSVP Singapore The Organisation of Senior Volunteers,S99SS0039L
Guide Dogs Singapore Ltd.,200302260G
Centre 42 Limited,201403108H
Singapore Cycling Federation,S58SS0009A
Transient Workers Count Too,T04SS0088C
THE FUTURE IN YOU FOUNDATION,NO69253
Victoria School,T07GS3014H
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Sing'theatre Ltd,200615018Z
WILD RICE Ltd,200100891D
The Theatre Practice,198801755D
HEALTHSERVE LTD,200615440H
Darul Ihsan Orphanage,T07CC3022A
Save Our Street Dogs,T12SS0058C
Mandai Nature Fund Ltd,200823204E
SMA CHARITY FUND,201305017E
PSALT Care Ltd,201401059R
Deaf Sports Association (Singapore),T12SS0228C
CampusImpact,T06SS0077A
Compassion Fund,200904371Z
FOUNDATION OF ROTARY CLUBS (S) LTD,199300813R
THE SUBSTATION LTD,199506857R
DYSLEXIA ASSOCIATION OF SINGAPORE,S91SS0096B
Vision 2030 Fund,T14CC0007H
Victoria Junior College,T07GS0706C
Singapore Hospice Council,S95SS0013E
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
Family Life Society,S85SS0018D
Perdaus,S64SS0031J
Leukemia & Lymphoma Foundation,T02SS0150A
Playeum Ltd,201333807K
Engineering Good Ltd,201408320W
Food From The Heart,200721064R
Social Health Growth Ltd,201203801G
FootballPlus Ltd,201329363K
