S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities,Scale_type
189,Samaritans of Singapore,Registered with IPC,S69SS0047D,From 01/4/2022 to 31/12/2024,Social and Welfare,"Community,Support Groups","Direct Services Public awareness, promotion & advisory Training & education Research",10000000
238,SPD,Registered with IPC,S64SS0052D,From 01/1/2022 to 31/12/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education",20000000
339,HABITAT FOR HUMANITY SINGAPORE LTD,Registered with IPC,200201617W,From 09/3/2023 to 08/3/2025,Others,General Charitable Purposes,"Direct Services Public awareness, promotion & advisory Training & education",5000000
45,CHILDREN'S CANCER FOUNDATION,Registered with IPC,201934434R,From 05/5/2022 to 04/5/2025,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",20000000
433,Zonta Singapore- Project Pari Fund,Registered with IPC,T10CC0004L,From 01/5/2021 to 31/1/2024,Social and Welfare,Community,"Financial assistance, bursaries & scholarships",250000
289,VIVA FOUNDATION FOR CHILDREN WITH CANCER,Registered with IPC,200601578E,From 15/5/2021 to 14/5/2024,Health,,Training & education Research,10000000
423,OASIS SECOND CHANCE ANIMAL SHELTER LTD.,Registered,201406657D,Not Applicable,Others,Animal Welfare,,1000000
154,NCSS CHARITABLE FUND,Registered with IPC,T03CC1692B,From 01/5/2023 to 30/4/2028,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",20000000
245,ST ANDREW'S MISSION HOSPITAL,Exempt Charity with IPC,T08CC3017C,From 01/7/2020 to 30/6/2023,Health,Nursing Home,Direct Services,20000000
309,FREE FOOD FOR ALL LTD.,Registered with IPC,201503391Z,From 27/3/2022 to 26/3/2024,Social and Welfare,Community,,5000000
82,HCA Hospice Care,Registered,S89SS0106G,From 01/10/2019 to 30/9/2022,Health,Hospice,Direct Services,20000000
137,MARYMOUNT CENTRE,Registered with IPC,201402049Z,From 01/7/2020 to 30/6/2023,Social and Welfare,"Children/Youth,Family","Direct Services Public awareness, promotion & advisory",10000000
