Campaign_ID,Message,Campagin_Title ,Receiving NPO name ,Number_campaigns_NPO,Campaign_Status,Actual_Donation_Amount,Log10_Donation_Amount,Distinct_Donors,Campaign_Goal,Campaign Completion Rate,Days Left for Campaign,Duration,Campaign Start Date,Campaign Start Date,Month,Month,Day,Year,Campaign End Date,Campaign End Date,Month,Month,Day,Year,NPO Ipc Status For Tax Deductibility,NPO,Campaign Image #,Campaign Image1 Id,Campaign Image2 Id,Campaign Image3 Id,Campaign Image4 Id,Campaign Image5 Id,Campaign Vid #,Campaign Video,Message,Impact Message 1,Impact Message 2,Impact Message 3,Impact Message 4,Impact Message 5,Custom Amount 1,Custom Amount 2,Custom Amount 3,Custom Amount 4,About Campaign,About Charity,Org Cause Animal Welfare,Org Cause Arts & Heritage,Org Cause Children & Youth,Org Cause Community,Org Cause Disability,Org Cause Education,Org Cause Elderly,Org Cause Environment,Org Cause Families,Org Cause Health,Org Cause Humanitarian,Org Cause Social Service,Org Cause Sports,Org Cause Women & Girls,Cam Cause Animal Welfare,Cam Cause Arts & Heritage,Cam Cause Children & Youth,Cam Cause Community,Cam Cause Disability,Cam Cause Education,Cam Cause Elderly,Cam Cause Environment,Cam Cause Families,Cam Cause Health,Cam Cause Humanitarian,Cam Cause Social Service,Cam Cause Sports,Cam Cause Women & Girls
4743866,1,CNY 2017 Fundraising For Patient Care Initiatives @ National Cancer Centre Singapore,Community Cancer Fund,1,ENDED,"5,041",0,72," 5,000 ",101%,Campaign Ended,85,6/1/17,"January 6, 2017",1,January,6,2017,31/3/17,"March 31, 2017",3,March,31,2017,TRUE,1,2,4791404,4791412,0,0,0,0,,1,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,18,58,88,188,"Cancer affects 1 in 3 Singaporeans. 

The Community Cancer Fund provides much needed funds to give financial assistance for our patients in need, alongside to providing funds for patient education and support programmes. It also ensures our patients, patients like Mr Goh Chang Teck, receive the best possible treatment and have the best possible outcomes. 

In 2007, Chang Teck was diagnosed with skin cancer at the tender age of 13. It never occurred to Chang Teck or his family that cancer could strike at such a young age.  In 2013, when he was about to enlist in the army, his cancer returned.  He was unable to pursue his dream of joining the army and serving his country like all his friends could. He felt lost, guilty and a sense of burden to his family.

Thanks to NCCS and the support of his family, Chang Teck has now recovered and finds strength and hope in running, clocking about 15km each time.  He is determined to beat cancer and inspire others not to give up in the face of adversity. Chang Tek hopes to raise awareness for cancer and share his story in order to make a difference in the lives of others.

This Lunar New Year, join Chang Teck in his quest to fight cancer by making a gift today. Your generosity will enable the Community Cancer Fund to help NCCS deliver cancer awareness education to the community, provide welfare support to needy patients and develop cancer care initiatives to benefit those affected by the illness.  

You too can make a difference!","The National Cancer Centre Singapore (NCCS) treats 70% of public cancer patients, attending to over 150,000 patient visits each year.  From the moment someone is diagnosed and throughout their treatment, we are with them, providing patients with the very best care, by the best people, in the best place. 

The Community Cancer Fund was established to help support cancer patients in need. The Fund supports financial assistance for patients who need it, and a Cancer Helpline, staffed by trained Nurse Counsellors, which provides cancer patients and caregivers with a listening ear, information and support. We also support education programmes and publications for the general public, so that more people know about the signs and symptoms of cancer and how to prevent it.

Cancer is the number 1 killer in Singapore, accounting for more than 1 in 4 deaths. You can do your bit for the community by joining us in the fight against cancer.

Please note that in the event that the donations made for a specific purpose have n",,,,,,,,,,Health,,,,,,,,,,,,,,Health,,,,
4744431,1,CNY 2017 Fundraising For Cancer Research @ National Cancer Centre Singapore,NCC Research Fund,1,ENDED,"2,721",0,30," 5,000 ",54%,Campaign Ended,85,6/1/17,"January 6, 2017",1,January,6,2017,31/3/17,"March 31, 2017",3,March,31,2017,TRUE,1,2,4791396,4791222,0,0,0,0,,1,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,18,58,88,188,"Cancer affects 1 in 3 Singaporeans. 

The NCC Research Fund provides much needed funds to kick-start and sustain important research projects with the aim to reduce mortality caused by cancer. It also ensures our patients, patients like Mr Goh Chang Teck, receive the best possible treatment with the best possible outcomes.

In 2007, Chang Teck was diagnosed with skin cancer at the tender age of 13. He felt lost, disappointed and a burden to his family. He was unable to pursue his dream of joining the army and serving his country like all his friends could. Thanks to cancer research and the support of his family, Chang Teck has now recovered and finds strength and hope in running. This February, this avid runner will be participating in Run For Hope 2017 which supports cancer research. He hopes to make a difference in the lives of others who are suffering from cancer, and inspire them not to give up in the face of adversity.

This Lunar New Year, join Chang Teck in his quest to support cancer research by making a gift today. Your generosity will enable the NCC Research Fund to continue advancing cancer research and education to benefit those affected with cancer. 

You too can make a difference!","Established in 2005, the NCC Research Fund supports innovative research to find the breakthroughs that will change how we understand, diagnose, treat and ultimately cure cancer.

With cancer research and care under one roof at the National Cancer Centre Singapore, the knowledge gained from patient-centric research fuels advancement in clinical care, which in turn provides knowledge that drives research. We firmly believe that today's research will pave the way for tomorrow's cure for cancer. 

Please note that in the event that the donations made for a specific purpose/project:
(i) Are less than the minimum  $10,000 to support an existing project OR
(ii) Has no new applicable project after a 2-year waiting period, the NCC Research Fund Board of Trustees reserves the right to channel these donations to the Fund's general pool in support of other worthy research projects.

Please note that donations must be made before 15 December for processing and be included in time for tax assessment in the same year.",,,,,,,,,,Health,,,,,,,,,,,,,,Health,,,,
4975718,1,Live Long & Prosper by Sumitra Gopal,NCC Research Fund,1,ENDED,"2,086",0,20," 3,100 ",67%,Campaign Ended,156,28/4/17,"April 28, 2017",4,April,28,2017,30/9/17,"September 30, 2017",9,September,30,2017,TRUE,1,5,4975729,4975714,5995185,5995193,5995301,0,,1,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,10,50,100,250,"Like many who have been touched by cancer in one way or another, I often imagine a world free of this disease. Cancer is considered the most feared disease in the world and in Singapore, it accounts for 1 in 3 deaths. 

Through family and friends, I have met many cancer patients who have endured trying times with a mountain of optimism and courage, and I've also seen first-hand the dedicated work of hospital staff. At the same time, we remember our departed loved ones who fought valiantly and who remind us why we can never stop this fight.

This year, I am making a personal commitment to raise funds for cancer research. I will be participating in a 10km run every month, culminating in the Reading Triathlon in the UK on 3rd Sept 2017. It's my way of paying it forward, for the exceptional care my mum had received from NCCS during her treatment there. (My mum is an amazing lady by the way!). Follow my journey here https://www.facebook.com/profile.php?id=671600348.

Continued research is critical for a cancer-free future. The NCC Research Fund invests heavily in translational and clinical research programs, supporting young doctors who have big ideas as well as established scientists who are making important strides in their field. 

Please join me in supporting cancer research. I hope you will give generously and spread the word! With your help, one day soon, the hardships and heartaches wrought by cancer will come to an end. May we all LIVE LONG & PROSPER!","Established in 2005, the NCC Research Fund supports innovative research to find the breakthroughs that will change how we understand, diagnose, treat and ultimately cure cancer.

With cancer research and care under one roof at the National Cancer Centre Singapore, the knowledge gained from patient-centric research fuels advancement in clinical care, which in turn provides knowledge that drives research. We firmly believe that today's research will pave the way for tomorrow's cure for cancer. 

Please note that in the event that the donations made for a specific purpose/project:
(i) Are less than the minimum  $10,000 to support an existing project OR
(ii) Has no new applicable project after a 2-year waiting period, the NCC Research Fund Board of Trustees reserves the right to channel these donations to the Fund's general pool in support of other worthy research projects.

Please note that donations must be made before 15 December for processing and be included in time for tax assessment in the same year.",,,,,,,,,,Health,,,,,,,,,,,,,,Health,,,,
5014434,1,Winning the War Against Diabetes,Nanyang Technological University,1,ENDED,515,0,10," 50,000 ",1%,Campaign Ended,124,22/5/17,"May 22, 2017",5,May,22,2017,22/9/17,"September 22, 2017",9,September,22,2017,TRUE,1,5,5031116,5031124,5031145,5766789,5766798,1,https://youtu.be/_HvemwYyMXM,1,Thank you for your generous gift and support in the fight against diabetes in Singapore.,Thank you for your generous gift and support in the fight against diabetes in Singapore.,Thank you for your generous gift and support in the fight against diabetes in Singapore.,Thank you for your generous gift and support in the fight against diabetes in Singapore.,Thank you for your generous gift and support in the fight against diabetes in Singapore.,10,50,100,200,"Singapore has the second-highest proportion of diabetics (after the US) among developed nations, with 10% of the population aged between 20 and 79 estimated to have the chronic disease. According to the WHO, the number of adults to be living with diabetes in Singapore has nearly quadrupled over 35 years.

The MOH has declared war on diabetes, describing it as one of the biggest burdens on the healthcare system in Singapore, costing more than $1 billion annually.

Since 2016, an international team of scientists at the Lee Kong Chian School of Medicine has been tackling diabetes through a multi-pronged research strategy, with a key focus on Asian populations. The breakthrough research has 3 key priorities: (a) Develop smart drugs that slow down enteric glucose absorption; (b) Advance paper-based diagnostics for pre-diabetes metabolic disease; and (c) Establish rapid immune cell profiling from a single drop of blood from diabetics. 

There is no cure for diabetes yet, but with generous support towards our key research as above, there is hope that we can slow down the trend of diabetes in Singapore and accelerate findings for preventive solutions and treatments for diabetes. 

All donations go towards diabetes research under the LKCMedicine Healthcare Research Fund. Your support also goes towards the raising of diabetes awareness in Singapore.

Thank you for joining in the fight to win the war against diabetes in Singapore.","A research-intensive public university, Nanyang Technological University, Singapore (NTU Singapore) has 33,000 undergraduate and postgraduate students in the colleges of Engineering, Business, Science, and Humanities, Arts and Social Sciences, and its Interdisciplinary Graduate School. NTU's Lee Kong Chian School of Medicine was established jointly with Imperial College London.

In 2018, NTU was placed 12th globally in the Quacquarelli Symonds (QS) World University Rankings. It was also ranked the world's best young university (under 50 years old) by QS for the fifth consecutive year. In addition, NTU was named the world's fastest rising young university by Times Higher Education in 2015.
",,,,Community,,Education,Elderly,,,Health,,,,,,,,Community,,Education,Elderly,,,Health,,,,
5018657,1,CanSurvive - A Celebration Of Life!,Community Cancer Fund,1,ENDED,"2,198",0,7," 3,000 ",73%,Campaign Ended,99,26/5/17,"May 26, 2017",5,May,26,2017,1/9/17,"September 1, 2017",9,September,1,2017,TRUE,1,3,5018643,5824809,5824822,0,0,0,,1,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,18,50,100,250,"On National Cancer Survivors Day this 4  June 2017, National Cancer Centre Singapore (NCCS) will celebrate CanSurvive - A Celebration of Life! On this day, we honour those who have survived cancer, and hope to show that life after a cancer diagnosis can be fruitful, rewarding and even inspiring!

At NCCS, cancer patients and survivors can participate in many meaningful activities that are beneficial to their health & well-being. Such initiatives could not be possible without your support. By making a minimum gift of $18 to the Community Cancer Fund, it would not only provide crucial funding for support groups and therapy programmes, but also provides financial assistance for needy patients, better patient care through improved treatment facilities, and also provides training and education for clinicians and professionals to enhance the treatments to patients.

Join us to make a difference and pledge your gift today!

If you would like to learn more about how you can support the Community Cancer Fund or any donation related matters, please contact Mr Hilman at +65 6236 9440 or hilman.sobahri@nccs.com.sg.","The National Cancer Centre Singapore (NCCS) treats 70% of public cancer patients, attending to over 150,000 patient visits each year.  From the moment someone is diagnosed and throughout their treatment, we are with them, providing patients with the very best care, by the best people, in the best place. 

The Community Cancer Fund was established to help support cancer patients in need. The Fund supports financial assistance for patients who need it, and a Cancer Helpline, staffed by trained Nurse Counsellors, which provides cancer patients and caregivers with a listening ear, information and support. We also support education programmes and publications for the general public, so that more people know about the signs and symptoms of cancer and how to prevent it.

Cancer is the number 1 killer in Singapore, accounting for more than 1 in 4 deaths. You can do your bit for the community by joining us in the fight against cancer.

Please note that in the event that the donations made for a specific purpose have n",,,,,,,,,,Health,,,,,,,,,,,,,,Health,,,,
5018715,1,CanSurvive - A Celebration Of Life!,NCC Research Fund,1,ENDED,718,0,4," 1,000 ",72%,Campaign Ended,99,26/5/17,"May 26, 2017",5,May,26,2017,1/9/17,"September 1, 2017",9,September,1,2017,TRUE,1,3,5018703,5824864,5824872,0,0,0,,1,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,18,50,100,250,"On National Cancer Survivors Day this 4 June 2017, National Cancer Centre Singapore (NCCS) will celebrate CanSurvive - A Celebration of Life! On this day, we honour those who have survived cancer, and hope to show that life after a cancer diagnosis can be fruitful, rewarding and even inspiring!

At NCCS, cancer patients and survivors are not only offered psychosocial support but are also provided holistic care and treatment. Such multidisciplinary treatments requires much quality clinical research, which could not be possible without your support.

By making a minimum gift of $18 to the NCC Research Fund, it would not only provide crucial funding for emerging treatment research projects but also provide funds to improve research related infrastructures which in turn enhances our treatment capabilities.

Join us to make a difference and pledge your gift today!

If you would like to learn more about how you can support the Community Cancer Fund or any donation related matters, please contact Mr Hilman at +65 6236 9440 or hilman.sobahri@nccs.com.sg.","Established in 2005, the NCC Research Fund supports innovative research to find the breakthroughs that will change how we understand, diagnose, treat and ultimately cure cancer.

With cancer research and care under one roof at the National Cancer Centre Singapore, the knowledge gained from patient-centric research fuels advancement in clinical care, which in turn provides knowledge that drives research. We firmly believe that today's research will pave the way for tomorrow's cure for cancer. 

Please note that in the event that the donations made for a specific purpose/project:
(i) Are less than the minimum  $10,000 to support an existing project OR
(ii) Has no new applicable project after a 2-year waiting period, the NCC Research Fund Board of Trustees reserves the right to channel these donations to the Fund's general pool in support of other worthy research projects.

Please note that donations must be made before 15 December for processing and be included in time for tax assessment in the same year.",,,,,,,,,,Health,,,,,,,,,,,,,,Health,,,,
5772797,1,Make Hannah's Big Dream A Possibility,Beautiful People SG Ltd,2,ENDED,"4,060",0,30," 4,000 ",102%,Campaign Ended,31,31/5/17,"May 31, 2017",5,May,31,2017,30/6/17,"June 30, 2017",6,June,30,2017,TRUE,1,5,5773830,5773840,5773848,5773857,5772788,0,,1,Help Hannah one step closer to her Dream!,Help Hannah one step closer to her Dream!,Help Hannah one step closer to her Dream!,Help Hannah one step closer to her Dream!,Help Hannah one step closer to her Dream!,10,50,100,200,"This is an urgent appeal to help our 22-year old little sister Hannah fulfill her an awesome dream.   Many of us have known Hannah from AG Home since she was 14 years old.   She has found her calling in the social service sector after an overseas mission trip to East Timor which had a great impact on her.  Her big dream is to help abused and abandoned children in third world countries so they can have an opportunity to become next generation leaders, a tall order indeed!   
To equip herself with the relevant skills as a social worker she decided to apply for the SIM Degree in Social Work.  However, to qualify for the course she is required to fulfill two years of relevant work experience in the sector.  In the meantime to advance her passion, she would like to pursue an Advance Diploma in Counselling Psychology but she is not able to get financial assistance from her family because her mother being the sole breadwinner has many other pressing priorities.
 We are appealing for a donation of $4,000 to help Hannah pay for her Advance Diploma in Counselling Psychology.  We have found a sponsor who will match $1 to $1 for donations given by 4 June 2017 (Sun) via the Giving.sg portal.
If we believe that very dream is a possibility, please invest in Hannah's dream!","Mentoring. It is the simple idea that dreams come true because of someone who believes in the one who dreams. This one simple idea has seen us walk into residential rehabilitation homes, schools, living rooms and behind prison bars, to touch the lives of those who have become our family. Beautiful People, started in 2006, is a volunteer movement dedicated to building mentoring relationships that support young women and men, exploring the idea of freedom within and without, and helping them realise their dreams. We are a relationship, not a programme. We refuse to be constrained by the boundaries of fixed programme durations. We celebrate the ordinary everyday heroes who are the mentors and mentees, growing together in an extraordinary journey of challenging their own limits. Our philosophy of support translates into a powerful experience for growth and self-discovery through a combination of life-skills training, mentoring, and coaching.",,,Children & Youth,Community,,,,,Families,,,,,Women & Girls,,,Children & Youth,Community,,,,,Families,,,,,Women & Girls
5838187,1,PROJECT RESOLUTE,NCC Research Fund,1,ENDED,"45,184",0,45," 50,000 ",90%,Campaign Ended,365,6/6/17,"June 6, 2017",6,June,6,2017,5/6/18,"June 5, 2018",6,June,5,2018,TRUE,1,2,5838179,5838056,0,0,0,0,,1,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,10,50,100,250,"Project RESOLUTE: Research to improve diagnosis and treatments for Cancers of the Colon, Rectum, Liver, Stomach, Pancreas, Bile duct and Neuroendocrine.

Cancers affecting the digestive tract are the commonest cancers in Singapore - more than 3,500 Singaporeans are diagnosed yearly. Over the last 2 decades, research has resulted in improved diagnostic tests, treatment methods and clinical outcomes for patients. Still, more needs to be done!

We are medical oncologists from National Cancer Centre Singapore who take care of patients with gut cancers. We also do research with leading edge technologies to comprehensively study patients' tumors in order to develop new diagnostic tests and innovative treatments to control or eradicate the cancers. Through research, we can help our patients receive the right drugs at the right time and ""translate"" important science discoveries to benefit our patients.

$415,000 is needed annually to conduct this research ($1.25million over 3 years) which will help our team address some of the most pressing needs of our patients. Help us improve care and provide better quality of life through our research. Your support will move us closer towards a cure for these cancers!","Established in 2005, the NCC Research Fund supports innovative research to find the breakthroughs that will change how we understand, diagnose, treat and ultimately cure cancer.

With cancer research and care under one roof at the National Cancer Centre Singapore, the knowledge gained from patient-centric research fuels advancement in clinical care, which in turn provides knowledge that drives research. We firmly believe that today's research will pave the way for tomorrow's cure for cancer. 

Please note that in the event that the donations made for a specific purpose/project:
(i) Are less than the minimum  $10,000 to support an existing project OR
(ii) Has no new applicable project after a 2-year waiting period, the NCC Research Fund Board of Trustees reserves the right to channel these donations to the Fund's general pool in support of other worthy research projects.

Please note that donations must be made before 15 December for processing and be included in time for tax assessment in the same year.",,,,,,,,,,Health,,,,,,,,,,,,,,Health,,,,
5849758,1,A Son's Gift of Life to Father,The National Kidney Foundation,2,ENDED,60,0,2," 10,000 ",1%,Campaign Ended,19,12/6/17,"June 12, 2017",6,June,12,2017,30/6/17,"June 30, 2017",6,June,30,2017,TRUE,1,4,5849738,5849754,5842661,5842814,0,0,,1,Thank you for your donation.,Thank you for your donation.,Thank you for your donation.,Thank you for your donation.,Thank you for your donation.,10,30,50,100,"Father's Day is an extremely special day for all the children in the world. It is an opportunity to make your father feel truly special and loved.

Daryl donated his kidney to his father, Mr Lee Geok Thiam as he did not want to see him having to go for dialysis three times a week and suffering the pain and discomfort that come with dialysis and kidney failure. 

Geok Thiam had to start dialysis in 2012 after his kidneys failed due to diabetes. Not only was dialysis inconvenient, he also suffered from vascular-related complications and fistula blockage, leading to frequent hospitalisations and eventually, an operation. Not bearing to see their father go through the pain of dialysis, Daryl and his 2 brothers offered to donate their kidneys to him, and Daryl, the eldest son was found to be the best match.

Daryl was determined to give his father a better quality of life. 

On this Father's Day, show your love and support for needy kidney patients who are receiving dialysis treatment and on the waiting list to receive a kidney transplant. 

To all Dads, NKF wishes you a very Happy Father's Day!","The National Kidney Foundation (NKF) is currently supporting more than 5,000 kidney failure patients, about two-thirds of the national kidney failure patient population. Our patients are of the lower income group. Treating a patient costs over $2,000 a month, however, the treatment our patients receive is highly subsidised, with 74% paying $50 or less a month out-of-pocket. 

NKF remains committed to journeying with our patients every step of the way in their treatment and rehabilitative care, advocating kidney health to prevent kidney failure and making a difference in the renal landscape to benefit the community. 

Partner us in giving Life & Hope to our patients now!

All donations received through Giving.sg will be channelled to NKF General Fund, which will be used to provide subsidised dialysis treatment and holistic care for our patients. 

To view our financial statements, please visit our corporate website at https://nkfs.org/about-us/annual-reports/",,,Children & Youth,Community,,,Elderly,,,Health,,,,,,,,,,,,,,Health,,,,
5859160,1,Festive Wishes by National Cancer Centre Singapore,Community Cancer Fund,1,ENDED,"4,095",0,64," 4,000 ",102%,Campaign Ended,199,16/6/17,"June 16, 2017",6,June,16,2017,31/12/17,"December 31, 2017",12,December,31,2017,TRUE,1,1,6082993,0,0,0,0,0,,1,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,Thank you for your generosity!,10,50,100,250,"The Deepavali Festival of Lights gives our community the opportunity to make a special gift and share blessings of strength and resilience to our patients through this festive appeal. 

Your gift of $10, $50 or 100 will ensure that the Community Cancer Fund can continue to provide financial assistance to our needy patients and their families, improve patient care, as well as providing cancer prevention and education programmes to the public.

Give cancer patients your support and make your gift today!

All donations to the Community Cancer Fund will qualify for a 250% tax deduction.","The National Cancer Centre Singapore (NCCS) treats 70% of public cancer patients, attending to over 150,000 patient visits each year.  From the moment someone is diagnosed and throughout their treatment, we are with them, providing patients with the very best care, by the best people, in the best place. 

The Community Cancer Fund was established to help support cancer patients in need. The Fund supports financial assistance for patients who need it, and a Cancer Helpline, staffed by trained Nurse Counsellors, which provides cancer patients and caregivers with a listening ear, information and support. We also support education programmes and publications for the general public, so that more people know about the signs and symptoms of cancer and how to prevent it.

Cancer is the number 1 killer in Singapore, accounting for more than 1 in 4 deaths. You can do your bit for the community by joining us in the fight against cancer.

Please note that in the event that the donations made for a specific purpose have n",,,,,,,,,,Health,,,,,,,,,,,,,,Health,,,,
